,dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
195,25/02/2020,25,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
196,24/02/2020,24,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
197,23/02/2020,23,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
198,22/02/2020,22,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
199,21/02/2020,21,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
200,20/02/2020,20,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
201,19/02/2020,19,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
202,18/02/2020,18,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
203,17/02/2020,17,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
204,16/02/2020,16,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
205,15/02/2020,15,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
206,14/02/2020,14,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
207,13/02/2020,13,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
208,12/02/2020,12,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
209,11/02/2020,11,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
210,10/02/2020,10,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
211,09/02/2020,9,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
212,08/02/2020,8,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
213,07/02/2020,7,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
214,06/02/2020,6,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
215,05/02/2020,5,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
216,04/02/2020,4,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
217,03/02/2020,3,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
218,02/02/2020,2,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
219,01/02/2020,1,2,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
220,31/01/2020,31,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
221,30/01/2020,30,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
222,29/01/2020,29,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
223,28/01/2020,28,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
224,27/01/2020,27,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
225,26/01/2020,26,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
226,25/01/2020,25,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
227,24/01/2020,24,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
228,23/01/2020,23,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
229,22/01/2020,22,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
230,21/01/2020,21,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
231,20/01/2020,20,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
232,19/01/2020,19,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
233,18/01/2020,18,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
234,17/01/2020,17,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
235,16/01/2020,16,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
236,15/01/2020,15,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
237,14/01/2020,14,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
238,13/01/2020,13,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
239,12/01/2020,12,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
240,11/01/2020,11,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
241,10/01/2020,10,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
242,09/01/2020,9,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
243,08/01/2020,8,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
244,07/01/2020,7,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
245,06/01/2020,6,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
246,05/01/2020,5,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
247,04/01/2020,4,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
248,03/01/2020,3,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
249,02/01/2020,2,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
250,01/01/2020,1,1,2020,0,0,DZ,Africa,DZA,42228429.0,Algeria
251,31/12/2019,31,12,2019,0,0,DZ,Africa,DZA,42228429.0,Algeria
252,20/04/2020,20,4,2020,9,1,AD,Europe,AND,77006.0,Andorra
253,19/04/2020,19,4,2020,8,0,AD,Europe,AND,77006.0,Andorra
254,18/04/2020,18,4,2020,14,2,AD,Europe,AND,77006.0,Andorra
255,17/04/2020,17,4,2020,9,0,AD,Europe,AND,77006.0,Andorra
256,16/04/2020,16,4,2020,14,2,AD,Europe,AND,77006.0,Andorra
257,15/04/2020,15,4,2020,13,2,AD,Europe,AND,77006.0,Andorra
258,14/04/2020,14,4,2020,8,0,AD,Europe,AND,77006.0,Andorra
259,13/04/2020,13,4,2020,16,1,AD,Europe,AND,77006.0,Andorra
260,12/04/2020,12,4,2020,21,2,AD,Europe,AND,77006.0,Andorra
261,11/04/2020,11,4,2020,18,1,AD,Europe,AND,77006.0,Andorra
262,10/04/2020,10,4,2020,19,2,AD,Europe,AND,77006.0,Andorra
