,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
141,14/03/2020,14,3,2020,10,0,Albania,AL,ALB,2866376.0,Europe
142,13/03/2020,13,3,2020,12,0,Albania,AL,ALB,2866376.0,Europe
143,12/03/2020,12,3,2020,1,1,Albania,AL,ALB,2866376.0,Europe
144,11/03/2020,11,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
145,10/03/2020,10,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
146,09/03/2020,9,3,2020,2,0,Albania,AL,ALB,2866376.0,Europe
147,21/04/2020,21,4,2020,89,9,Algeria,DZ,DZA,42228429.0,Africa
148,20/04/2020,20,4,2020,94,8,Algeria,DZ,DZA,42228429.0,Africa
149,19/04/2020,19,4,2020,117,3,Algeria,DZ,DZA,42228429.0,Africa
150,18/04/2020,18,4,2020,150,16,Algeria,DZ,DZA,42228429.0,Africa
151,17/04/2020,17,4,2020,108,12,Algeria,DZ,DZA,42228429.0,Africa
152,16/04/2020,16,4,2020,90,11,Algeria,DZ,DZA,42228429.0,Africa
153,15/04/2020,15,4,2020,87,12,Algeria,DZ,DZA,42228429.0,Africa
154,14/04/2020,14,4,2020,69,20,Algeria,DZ,DZA,42228429.0,Africa
155,13/04/2020,13,4,2020,89,18,Algeria,DZ,DZA,42228429.0,Africa
156,12/04/2020,12,4,2020,64,19,Algeria,DZ,DZA,42228429.0,Africa
157,11/04/2020,11,4,2020,95,21,Algeria,DZ,DZA,42228429.0,Africa
158,10/04/2020,10,4,2020,94,30,Algeria,DZ,DZA,42228429.0,Africa
159,09/04/2020,9,4,2020,104,12,Algeria,DZ,DZA,42228429.0,Africa
160,08/04/2020,8,4,2020,45,20,Algeria,DZ,DZA,42228429.0,Africa
161,07/04/2020,7,4,2020,103,21,Algeria,DZ,DZA,42228429.0,Africa
162,06/04/2020,6,4,2020,69,22,Algeria,DZ,DZA,42228429.0,Africa
163,05/04/2020,5,4,2020,80,25,Algeria,DZ,DZA,42228429.0,Africa
164,04/04/2020,4,4,2020,185,42,Algeria,DZ,DZA,42228429.0,Africa
165,03/04/2020,3,4,2020,139,5,Algeria,DZ,DZA,42228429.0,Africa
166,02/04/2020,2,4,2020,131,14,Algeria,DZ,DZA,42228429.0,Africa
167,01/04/2020,1,4,2020,132,9,Algeria,DZ,DZA,42228429.0,Africa
168,31/03/2020,31,3,2020,73,4,Algeria,DZ,DZA,42228429.0,Africa
169,30/03/2020,30,3,2020,57,2,Algeria,DZ,DZA,42228429.0,Africa
170,29/03/2020,29,3,2020,45,3,Algeria,DZ,DZA,42228429.0,Africa
171,28/03/2020,28,3,2020,42,1,Algeria,DZ,DZA,42228429.0,Africa
172,27/03/2020,27,3,2020,65,4,Algeria,DZ,DZA,42228429.0,Africa
173,26/03/2020,26,3,2020,38,2,Algeria,DZ,DZA,42228429.0,Africa
174,25/03/2020,25,3,2020,34,2,Algeria,DZ,DZA,42228429.0,Africa
175,24/03/2020,24,3,2020,29,0,Algeria,DZ,DZA,42228429.0,Africa
176,23/03/2020,23,3,2020,62,2,Algeria,DZ,DZA,42228429.0,Africa
177,22/03/2020,22,3,2020,37,5,Algeria,DZ,DZA,42228429.0,Africa
178,21/03/2020,21,3,2020,12,3,Algeria,DZ,DZA,42228429.0,Africa
179,20/03/2020,20,3,2020,18,1,Algeria,DZ,DZA,42228429.0,Africa
180,19/03/2020,19,3,2020,12,1,Algeria,DZ,DZA,42228429.0,Africa
181,18/03/2020,18,3,2020,2,1,Algeria,DZ,DZA,42228429.0,Africa
182,17/03/2020,17,3,2020,10,0,Algeria,DZ,DZA,42228429.0,Africa
183,16/03/2020,16,3,2020,11,2,Algeria,DZ,DZA,42228429.0,Africa
184,15/03/2020,15,3,2020,11,0,Algeria,DZ,DZA,42228429.0,Africa
185,14/03/2020,14,3,2020,1,1,Algeria,DZ,DZA,42228429.0,Africa
186,13/03/2020,13,3,2020,5,1,Algeria,DZ,DZA,42228429.0,Africa
187,12/03/2020,12,3,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
188,09/03/2020,9,3,2020,3,0,Algeria,DZ,DZA,42228429.0,Africa
189,06/03/2020,6,3,2020,5,0,Algeria,DZ,DZA,42228429.0,Africa
190,05/03/2020,5,3,2020,7,0,Algeria,DZ,DZA,42228429.0,Africa
191,04/03/2020,4,3,2020,2,0,Algeria,DZ,DZA,42228429.0,Africa
192,02/03/2020,2,3,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
193,01/03/2020,1,3,2020,2,0,Algeria,DZ,DZA,42228429.0,Africa
194,29/02/2020,29,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
195,28/02/2020,28,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
196,27/02/2020,27,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
197,26/02/2020,26,2,2020,1,0,Algeria,DZ,DZA,42228429.0,Africa
198,25/02/2020,25,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
199,24/02/2020,24,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
200,23/02/2020,23,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
201,22/02/2020,22,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
202,21/02/2020,21,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
203,20/02/2020,20,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
204,19/02/2020,19,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
205,18/02/2020,18,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
206,17/02/2020,17,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
207,16/02/2020,16,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
208,15/02/2020,15,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
209,14/02/2020,14,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
210,13/02/2020,13,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
211,12/02/2020,12,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
212,11/02/2020,11,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
213,10/02/2020,10,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
214,09/02/2020,9,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
215,08/02/2020,8,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
216,07/02/2020,7,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
217,06/02/2020,6,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
218,05/02/2020,5,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
219,04/02/2020,4,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
220,03/02/2020,3,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
221,02/02/2020,2,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
222,01/02/2020,1,2,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
223,31/01/2020,31,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
