,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
209,27/01/2020,27,1,2020,0,0,Algeria,DZ,DZA,42228429.0
210,26/01/2020,26,1,2020,0,0,Algeria,DZ,DZA,42228429.0
211,25/01/2020,25,1,2020,0,0,Algeria,DZ,DZA,42228429.0
212,24/01/2020,24,1,2020,0,0,Algeria,DZ,DZA,42228429.0
213,23/01/2020,23,1,2020,0,0,Algeria,DZ,DZA,42228429.0
214,22/01/2020,22,1,2020,0,0,Algeria,DZ,DZA,42228429.0
215,21/01/2020,21,1,2020,0,0,Algeria,DZ,DZA,42228429.0
216,20/01/2020,20,1,2020,0,0,Algeria,DZ,DZA,42228429.0
217,19/01/2020,19,1,2020,0,0,Algeria,DZ,DZA,42228429.0
218,18/01/2020,18,1,2020,0,0,Algeria,DZ,DZA,42228429.0
219,17/01/2020,17,1,2020,0,0,Algeria,DZ,DZA,42228429.0
220,16/01/2020,16,1,2020,0,0,Algeria,DZ,DZA,42228429.0
221,15/01/2020,15,1,2020,0,0,Algeria,DZ,DZA,42228429.0
222,14/01/2020,14,1,2020,0,0,Algeria,DZ,DZA,42228429.0
223,13/01/2020,13,1,2020,0,0,Algeria,DZ,DZA,42228429.0
224,12/01/2020,12,1,2020,0,0,Algeria,DZ,DZA,42228429.0
225,11/01/2020,11,1,2020,0,0,Algeria,DZ,DZA,42228429.0
226,10/01/2020,10,1,2020,0,0,Algeria,DZ,DZA,42228429.0
227,09/01/2020,9,1,2020,0,0,Algeria,DZ,DZA,42228429.0
228,08/01/2020,8,1,2020,0,0,Algeria,DZ,DZA,42228429.0
229,07/01/2020,7,1,2020,0,0,Algeria,DZ,DZA,42228429.0
230,06/01/2020,6,1,2020,0,0,Algeria,DZ,DZA,42228429.0
231,05/01/2020,5,1,2020,0,0,Algeria,DZ,DZA,42228429.0
232,04/01/2020,4,1,2020,0,0,Algeria,DZ,DZA,42228429.0
233,03/01/2020,3,1,2020,0,0,Algeria,DZ,DZA,42228429.0
234,02/01/2020,2,1,2020,0,0,Algeria,DZ,DZA,42228429.0
235,01/01/2020,1,1,2020,0,0,Algeria,DZ,DZA,42228429.0
236,31/12/2019,31,12,2019,0,0,Algeria,DZ,DZA,42228429.0
237,15/04/2020,15,4,2020,13,2,Andorra,AD,AND,77006.0
238,14/04/2020,14,4,2020,8,0,Andorra,AD,AND,77006.0
239,13/04/2020,13,4,2020,16,1,Andorra,AD,AND,77006.0
240,12/04/2020,12,4,2020,21,2,Andorra,AD,AND,77006.0
241,11/04/2020,11,4,2020,18,1,Andorra,AD,AND,77006.0
242,10/04/2020,10,4,2020,19,2,Andorra,AD,AND,77006.0
243,09/04/2020,9,4,2020,19,1,Andorra,AD,AND,77006.0
244,08/04/2020,8,4,2020,19,1,Andorra,AD,AND,77006.0
245,07/04/2020,7,4,2020,25,3,Andorra,AD,AND,77006.0
246,06/04/2020,6,4,2020,35,1,Andorra,AD,AND,77006.0
247,05/04/2020,5,4,2020,27,1,Andorra,AD,AND,77006.0
248,04/04/2020,4,4,2020,11,1,Andorra,AD,AND,77006.0
249,03/04/2020,3,4,2020,38,1,Andorra,AD,AND,77006.0
250,02/04/2020,2,4,2020,14,2,Andorra,AD,AND,77006.0
251,01/04/2020,1,4,2020,6,4,Andorra,AD,AND,77006.0
252,31/03/2020,31,3,2020,36,2,Andorra,AD,AND,77006.0
253,30/03/2020,30,3,2020,26,2,Andorra,AD,AND,77006.0
254,29/03/2020,29,3,2020,41,1,Andorra,AD,AND,77006.0
255,28/03/2020,28,3,2020,43,0,Andorra,AD,AND,77006.0
256,27/03/2020,27,3,2020,36,3,Andorra,AD,AND,77006.0
257,26/03/2020,26,3,2020,24,0,Andorra,AD,AND,77006.0
258,25/03/2020,25,3,2020,31,0,Andorra,AD,AND,77006.0
259,24/03/2020,24,3,2020,20,0,Andorra,AD,AND,77006.0
260,23/03/2020,23,3,2020,25,0,Andorra,AD,AND,77006.0
261,22/03/2020,22,3,2020,13,0,Andorra,AD,AND,77006.0
262,21/03/2020,21,3,2020,0,0,Andorra,AD,AND,77006.0
263,20/03/2020,20,3,2020,22,0,Andorra,AD,AND,77006.0
264,19/03/2020,19,3,2020,39,0,Andorra,AD,AND,77006.0
265,18/03/2020,18,3,2020,0,0,Andorra,AD,AND,77006.0
266,17/03/2020,17,3,2020,9,0,Andorra,AD,AND,77006.0
267,16/03/2020,16,3,2020,3,0,Andorra,AD,AND,77006.0
268,14/03/2020,14,3,2020,1,0,Andorra,AD,AND,77006.0
269,03/03/2020,3,3,2020,1,0,Andorra,AD,AND,77006.0
270,15/04/2020,15,4,2020,0,0,Angola,AO,AGO,30809762.0
271,14/04/2020,14,4,2020,0,0,Angola,AO,AGO,30809762.0
272,13/04/2020,13,4,2020,0,0,Angola,AO,AGO,30809762.0
273,12/04/2020,12,4,2020,0,0,Angola,AO,AGO,30809762.0
274,11/04/2020,11,4,2020,0,0,Angola,AO,AGO,30809762.0
275,10/04/2020,10,4,2020,0,0,Angola,AO,AGO,30809762.0
276,09/04/2020,9,4,2020,2,0,Angola,AO,AGO,30809762.0
277,08/04/2020,8,4,2020,1,0,Angola,AO,AGO,30809762.0
278,07/04/2020,7,4,2020,2,0,Angola,AO,AGO,30809762.0
279,06/04/2020,6,4,2020,4,0,Angola,AO,AGO,30809762.0
280,05/04/2020,5,4,2020,2,0,Angola,AO,AGO,30809762.0
281,04/04/2020,4,4,2020,0,0,Angola,AO,AGO,30809762.0
282,03/04/2020,3,4,2020,0,0,Angola,AO,AGO,30809762.0
283,02/04/2020,2,4,2020,1,0,Angola,AO,AGO,30809762.0
284,01/04/2020,1,4,2020,0,0,Angola,AO,AGO,30809762.0
285,31/03/2020,31,3,2020,0,0,Angola,AO,AGO,30809762.0
286,30/03/2020,30,3,2020,3,2,Angola,AO,AGO,30809762.0
287,29/03/2020,29,3,2020,0,0,Angola,AO,AGO,30809762.0
288,28/03/2020,28,3,2020,1,0,Angola,AO,AGO,30809762.0
289,27/03/2020,27,3,2020,1,0,Angola,AO,AGO,30809762.0
290,26/03/2020,26,3,2020,0,0,Angola,AO,AGO,30809762.0
291,25/03/2020,25,3,2020,0,0,Angola,AO,AGO,30809762.0
292,24/03/2020,24,3,2020,0,0,Angola,AO,AGO,30809762.0
293,23/03/2020,23,3,2020,0,0,Angola,AO,AGO,30809762.0
294,22/03/2020,22,3,2020,2,0,Angola,AO,AGO,30809762.0
295,15/04/2020,15,4,2020,0,0,Anguilla,AI,,
296,14/04/2020,14,4,2020,0,0,Anguilla,AI,,
297,13/04/2020,13,4,2020,0,0,Anguilla,AI,,
298,12/04/2020,12,4,2020,0,0,Anguilla,AI,,
299,11/04/2020,11,4,2020,0,0,Anguilla,AI,,
300,10/04/2020,10,4,2020,0,0,Anguilla,AI,,
301,09/04/2020,9,4,2020,0,0,Anguilla,AI,,
302,08/04/2020,8,4,2020,0,0,Anguilla,AI,,
303,07/04/2020,7,4,2020,0,0,Anguilla,AI,,
304,06/04/2020,6,4,2020,0,0,Anguilla,AI,,
305,05/04/2020,5,4,2020,0,0,Anguilla,AI,,
306,04/04/2020,4,4,2020,0,0,Anguilla,AI,,
307,03/04/2020,3,4,2020,1,0,Anguilla,AI,,
308,02/04/2020,2,4,2020,0,0,Anguilla,AI,,
309,01/04/2020,1,4,2020,0,0,Anguilla,AI,,
310,31/03/2020,31,3,2020,0,0,Anguilla,AI,,
311,30/03/2020,30,3,2020,0,0,Anguilla,AI,,
312,29/03/2020,29,3,2020,0,0,Anguilla,AI,,
313,28/03/2020,28,3,2020,0,0,Anguilla,AI,,
314,27/03/2020,27,3,2020,2,0,Anguilla,AI,,
315,15/04/2020,15,4,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
316,14/04/2020,14,4,2020,2,0,Antigua_and_Barbuda,AG,ATG,96286.0
317,13/04/2020,13,4,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
318,12/04/2020,12,4,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
319,11/04/2020,11,4,2020,2,0,Antigua_and_Barbuda,AG,ATG,96286.0
320,10/04/2020,10,4,2020,4,2,Antigua_and_Barbuda,AG,ATG,96286.0
321,09/04/2020,9,4,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
